Voyage,Deployment,Accession number,Species,Specimen number,Box,Length (mm),Weight (g),weight (mg)
IN2020_V08,36,48,E. triacantha,62,,22,0.127,127
IN2020_V08,36,48,E. triacantha,61,,23,0.154,154
IN2020_V08,36,48,E. triacantha,64,,23,0.131,131
IN2020_V08,36,48,E. triacantha,66,,23,0.124,124
IN2020_V08,36,48,E. triacantha,70,,23,0.129,129
IN2020_V08,36,48,E. triacantha,58,,24,0.173,173
IN2020_V08,36,48,E. triacantha,63,,24,0.151,151
IN2020_V08,36,48,E. triacantha,65,,24,0.13,130
IN2020_V08,49,10,E. triacantha,6,,25,0.207,207
IN2020_V08,49,10,E. triacantha,11,,25,0.2114,211.4
IN2020_V08,49,10,E. triacantha,17,,25,0.196,196
IN2020_V08,49,10,E. triacantha,21,,25,0.161,161
IN2020_V08,49,10,E. triacantha,23,,25,0.18,180
IN2020_V08,49,10,E. triacantha,24,,25,0.1543,154.3
IN2020_V08,36,48,E. triacantha,26,,25,0.204,204
IN2020_V08,36,48,E. triacantha,35,,25,0.212,212
IN2020_V08,36,48,E. triacantha,42,,25,0.1937,193.7
IN2020_V08,36,48,E. triacantha,49,,25,0.201,201
IN2020_V08,36,48,E. triacantha,50,,25,0.192,192
IN2020_V08,36,48,E. triacantha,51,,25,0.152,152
IN2020_V08,36,48,E. triacantha,71,,25,0.213,213
IN2020_V08,36,48,E. triacantha,72,,25,0.172,172
IN2020_V08,49,10,E. triacantha,3,,26,0.23,230
IN2020_V08,49,10,E. triacantha,14,,26,0.178,178
IN2020_V08,49,10,E. triacantha,15,,26,0.194,194
IN2020_V08,49,10,E. triacantha,16,,26,0.2,200
IN2020_V08,49,10,E. triacantha,19,,26,0.223,223
IN2020_V08,49,10,E. triacantha,20,,26,0.248,248
IN2020_V08,49,10,E. triacantha,22,,26,0.213,213
IN2020_V08,36,48,E. triacantha,25,,26,0.228,228
IN2020_V08,36,48,E. triacantha,27,,26,0.1989,198.9
IN2020_V08,36,48,E. triacantha,39,,26,0.206,206
IN2020_V08,36,48,E. triacantha,41,,26,0.231,231
IN2020_V08,36,48,E. triacantha,44,,26,0.206,206
IN2020_V08,36,48,E. triacantha,45,,26,0.225,225
IN2020_V08,36,48,E. triacantha,47,,26,0.216,216
IN2020_V08,36,48,E. triacantha,53,,26,0.125,125
IN2020_V08,36,48,E. triacantha,55,,26,0.203,203
IN2020_V08,36,48,E. triacantha,59,,26,0.221,221
IN2020_V08,36,48,E. triacantha,68,,26,0.209,209
IN2020_V08,49,10,E. triacantha,4,,27,0.2065,206.5
IN2020_V08,49,10,E. triacantha,8,,27,0.251,251
IN2020_V08,49,10,E. triacantha,9,,27,0.211,211
IN2020_V08,49,10,E. triacantha,12,,27,0.246,246
IN2020_V08,49,10,E. triacantha,18,,27,0.22,220
IN2020_V08,36,48,E. triacantha,36,,27,0.254,
IN2020_V08,36,48,E. triacantha,37,,27,0.268,
IN2020_V08,36,48,E. triacantha,40,,27,0.244,
IN2020_V08,36,48,E. triacantha,43,,27,0.233,
IN2020_V08,36,48,E. triacantha,46,,27,0.214,
IN2020_V08,36,48,E. triacantha,48,,27,0.229,
IN2020_V08,36,48,E. triacantha,52,,27,0.21,
IN2020_V08,36,48,E. triacantha,54,,27,0.224,
IN2020_V08,36,48,E. triacantha,57,,27,0.223,
IN2020_V08,36,48,E. triacantha,60,,27,0.225,
IN2020_V08,49,10,E. triacantha,13,,28,0.267,
IN2020_V08,36,48,E. triacantha,31,,28,0.244,
IN2020_V08,36,48,E. triacantha,56,,28,0.229,
IN2020_V08,36,48,E. triacantha,69,,28,0.223,
IN2020_V08,49,10,E. triacantha,2,,29,0.262,
IN2020_V08,49,10,E. triacantha,7,,29,0.201,
IN2020_V08,36,48,E. triacantha,28,,29,0.292,
IN2020_V08,36,48,E. triacantha,32,,29,0.283,
IN2020_V08,36,48,E. triacantha,33,,29,0.246,* RMT 38 Acc # - slightly better condition than #49-10
IN2020_V08,36,48,E. triacantha,38,,29,0.275,
IN2020_V08,49,10,E. triacantha,1,,30,0.331,
IN2020_V08,49,10,E. triacantha,5,,30,0.326,
IN2020_V08,49,10,E. triacantha,10,,30,0.368,
IN2020_V08,36,48,E. triacantha,29,,30,0.292,
IN2020_V08,36,48,E. triacantha,30,,30,0.326,
IN2020_V08,36,48,E. triacantha,34,,30,0.277,
IN2020_V08,36,48,E. triacantha,67,,30,0.232,
