SED_TRAP,deployment_UTC,Site,lat,lon,depth_m,POC_flux_mmol_m2_d,sd
SOL1_ST1_1,8/12/2020 23:45,SOTS,-47.077,141.394,179,11.67,1.72
SOL1_ST2_1,8/12/2020 23:45,SOTS,-47.077,141.394,229,11.1,0.84
SOL1_ST3_1,8/12/2020 23:45,SOTS,-47.077,141.394,272,8.91,1.35
SOL2_ST1,12/12/2020 23:15,SOTS,-47.088,141.374,179,7.18,
SOL2_ST2,12/12/2020 23:15,SOTS,-47.088,141.374,229,7.65,
SOL2_ST3,12/12/2020 23:15,SOTS,-47.088,141.374,275,8.08,
SOL3_ST1_1,16/12/2020 20:00,SOTS,-47.082,141.366,185,7.76,2.36
SOL3_ST2_1,16/12/2020 20:00,SOTS,-47.082,141.366,232,7.97,0.35
SOL3_ST3_1,16/12/2020 20:00,SOTS,-47.082,141.366,277,7.24,1.51
SOL4_ST1,23/12/2020 23:50,P1,-55.918,139.138,189,8.44,
SOL4_ST2,23/12/2020 23:50,P1,-55.918,139.138,237,7.22,
SOL4_ST3,23/12/2020 23:50,P1,-55.918,139.138,282,6.6,
SOL5_ST1,27/12/2020 21:45,P1,-55.802,138.623,189,10.2,
SOL5_ST2,27/12/2020 21:45,P1,-55.802,138.623,236,10.32,
SOL5_ST3,27/12/2020 21:45,P1,-55.802,138.623,282,7.18,
SOL6_ST1,31/12/2020 22:30,P2,-58.053,141.259,192,7.09,
SOL6_ST2,31/12/2020 22:30,P2,-58.053,141.259,239,7.69,
SOL6_ST3,31/12/2020 22:30,P2,-58.053,141.259,285,5.49,
SOL7_ST1,4/01/2021 22:15,P2,-57.981,141.374,191,6.2,
SOL7_ST2,4/01/2021 22:15,P2,-57.981,141.374,239,5.63,
SOL7_ST3,4/01/2021 22:15,P2,-57.981,141.374,284,NA,
