Voyage,Deployment,Accession number,Species,Specimen number,Box,Length (mm),Weight (g),,,,,
IN2018_V02,7,121.6,Lampanyctus australis,33,2,21,0.05,,,,,
IN2018_V02,7,121.6,Lampanyctus australis,56,2,22,0.1,,,,,
IN2018_V02,7,121.6,Lampanyctus australis,52,2,24,0.1,,,,,
IN2018_V02,7,121.6,Lampanyctus australis,47,2,25,0.1,,,,,
IN2018_V02,7,121.6,Lampanyctus australis,49,2,25,0.05,,,,,
IN2018_V02,7,121.6,Lampanyctus australis,51,2,25,0.1,,,,,
IN2018_V02,7,121.6,Lampanyctus australis,59,2,25,0.1,,,,,
IN2018_V02,7,121.6,Lampanyctus australis,62,2,25,0.1,,,,,
IN2018_V02,7,121.6,Lampanyctus australis,43,2,26,0.1,,,,,
IN2018_V02,7,121.6,Lampanyctus australis,46,2,26,0.1,,,,,
IN2018_V02,7,121.6,Lampanyctus australis,41,2,27,0.1,,,,,
IN2018_V02,7,121.6,Lampanyctus australis,35,2,29,0.1,,,,,
IN2018_V02,7,121.6,Lampanyctus australis,39,2,29,0.1,,,,,
IN2018_V02,7,121.6,Lampanyctus australis,38,2,30,0.2,,,,,
IN2018_V02,7,121.6,Lampanyctus australis,54,2,30,0.2,,,,,
IN2018_V02,7,121.6,Lampanyctus australis,57,2,30,0.2,,,,,
IN2018_V02,7,121.6,Lampanyctus australis,32,2,32,0.2,,,,,
IN2018_V02,7,121.6,Lampanyctus australis,55,2,32,0.2,,,,,
IN2018_V02,7,121.6,Lampanyctus australis,61,2,32,0.2,,,,,
IN2018_V02,7,121.6,Lampanyctus australis,50,2,34,0.2,,,,,
IN2018_V02,7,121.6,Lampanyctus australis,58,2,34,0.2,,,,,
IN2018_V02,7,121.6,Lampanyctus australis,44,2,35,0.3,,,,,
IN2018_V02,7,121.6,Lampanyctus australis,48,2,36,0.3,,,,,
IN2018_V02,7,121.6,Lampanyctus australis,53,2,36,0.1,,,,,
IN2018_V02,7,132.6,Lampanyctus australis,26,1,37,0.4,,,,,
IN2018_V02,7,121.6,Lampanyctus australis,42,2,37,0.5,,,,,
IN2018_V02,7,121.6,Lampanyctus australis,60,2,37,0.4,,,,,
IN2018_V02,7,131.6,Lampanyctus australis,25,1,38,0.4,,,,,
IN2018_V02,7,129.6,Lampanyctus australis,28,1,40,0.5,,,,,
IN2018_V02,7,121.6,Lampanyctus australis,40,2,42,0.6,,,,,
IN2018_V02,7,121.6,Lampanyctus australis,36,2,43,0.6,,,,,
IN2018_V02,7,121.6,Lampanyctus australis,37,2,44,0.6,,,,,
IN2018_V02,7,133.6,Lampanyctus australis,27,1,45,0.7,,,,,
IN2018_V02,7,121.6,Lampanyctus australis,45,2,45,0.7,,,,,
IN2018_V02,7,121.6,Lampanyctus australis,34,2,47,0.8,,,,,
IN2018_V02,7,121.6,Lampanyctus australis,31,2,49,0.7,,,,,
IN2018_V02,7,128.6,Lampanyctus australis,24,1,62,2,,,,,
IN2018_V02,7,126.6,Lampanyctus australis,23,1,71,3.2,,,,,
IN2018_V02,7,124.6,Lampanyctus australis,22,1,78,4.2,,,,,
IN2018_V02,7,125.6,Lampanyctus australis,29,1,82,5,,,,,
IN2018_V02,7,122.6,Lampanyctus australis,30,1,91,6.9,,,,,
IN2018_V02,7,127.6,Lampanyctus australis,21,1,102,10.8,,,,,
IN2020_V08,11,24,Lampanyctus australis,4,1,39,0.4,,,,,
IN2020_V08,17,19,Lampanyctus australis,5,1,45,0.6,,,,,
IN2020_V08,22,104,Lampanyctus australis,7,1,45,0.6,,,,,
IN2020_V08,22,104,Lampanyctus australis,11,1,50,0.9,,,,,
IN2020_V08,22,104,Lampanyctus australis,12,1,50,1.1,,,,,
IN2020_V08,22,104,Lampanyctus australis,8,1,53,0.9,,,,,
IN2020_V08,14,32,Lampanyctus australis,3,1,59,1.7,,,,,
IN2020_V08,22,104,Lampanyctus australis,10,1,61,1.4,,,,,
IN2020_V08,22,104,Lampanyctus australis,9,1,63,1.9,,,,,
IN2020_V08,14,32,Lampanyctus australis,2,1,64,2.4,,,,,
IN2020_V08,7,4,Lampanyctus australis,15,1,65,2.2,,,,,
IN2020_V08,7,4,Lampanyctus australis,16,1,65,2.3,,,,,
IN2020_V08,14,32,Lampanyctus australis,1,1,70,2.8,,,,,
IN2020_V08,7,4,Lampanyctus australis,13,1,70,2.9,,,,,
IN2020_V08,17,19,Lampanyctus australis,6,1,71,3.3,,,,,
IN2020_V08,7,4,Lampanyctus australis,14,1,86,6,,,,,
IN2020_V08,7,4,Lampanyctus australis,17,1,89,5.9,,,,,
IN2020_V08,7,4,Lampanyctus australis,19,1,92,7,,,,,
IN2020_V08,7,4,Lampanyctus australis,20,1,92,6.6,,,,,
IN2020_V08,7,4,Lampanyctus australis,18,1,95,8.6,,,,,
,,,,,,,,,,,,
